,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
RNF11,0.51507366,1.5515926,1.7992977,0.39175218,2.0878603,1.7957668,0.7330725,2.816258,1.8386304,1.3902857,0.23697035,0.55679744,0.29585755,0.2938177,0.6287263,0.42206454,0.51499903,0.32907015,0.22080278,0.7401678,0.54841995,0.39209822,0.23758978,0.65742856,0.6835462,0.37161958,0.32814938,0.7809897,0.7079132,0.44436535,0.17385884,0.3230255,0.45323217,0.2407372,0.3133173,0.3440058,0.43611696,0.38497972,0.29223007,0.44301307,0.4345207
GPX7,0.44860405,0.19221933,0.03322638,0.26330918,0.057706103,0.019826746,0.22352679,0.028943611,0.06367161,0.15382367,0.41746122,0.2216178,0.4373336,0.05605286,0.063521035,0.068082795,0.042869184,0.047394052,0.06197173,0.05942855,0.11711793,0.059393868,0.020715993,0.063793674,0.016128797,0.029771192,0.033566773,0.04120853,0.03468749,0.14333779,0.055573054,0.26924074,0.13151342,0.09916141,0.040268946,0.12752824,0.3855029,0.07962396,0.09779985,0.19045703,0.15975225
DNAJB4,0.29880357,1.6569492,12.018065,0.73051685,8.443754,11.906155,1.1915433,10.52529,9.574922,8.27763,0.15258421,0.25748104,0.28602597,0.44229844,0.4537881,0.18313414,0.93033636,0.37530956,0.43189958,0.6885984,0.6538666,0.73951197,0.60973364,0.6738956,0.77031237,0.55992997,0.6293088,1.0584527,0.51080436,0.6911524,0.28313583,0.22091667,0.11304075,0.35996792,0.5200929,0.14484663,0.47452578,0.44750223,0.18364073,0.06583328,0.16721639
TTLL7,0.013892061,0.042644188,0.0889383,0.026749792,0.0465054,0.0,0.055413745,0.0,0.059871666,0.017520284,0.04627015,0.014586505,0.040956855,0.013508293,0.426752,0.038999125,0.7340842,0.020209005,0.015473336,0.5420567,0.06646949,0.5717247,0.04106347,0.44366807,0.0,0.5117995,0.015394896,0.42896625,0.014770906,0.2684163,0.0029433912,0.09277346,0.0,0.103083864,0.013086706,0.11316387,0.17171693,0.01917543,0.27661055,0.0091173025,0.0
C1orf52,0.29752025,0.86458725,2.0703866,0.69308776,2.2548735,2.2166212,0.54139006,1.0877857,1.665915,1.6984296,0.27950248,0.36585328,0.67297196,0.40146998,0.30408987,0.274489,0.35006237,0.29469213,0.45454788,0.43423522,0.54962605,0.42954677,0.43015397,0.37861338,0.38123056,0.33726904,0.5362942,0.6100526,0.5663618,0.49157223,0.20794979,0.6156305,0.24906233,0.46410275,0.31820428,0.23705718,0.39444897,0.24792221,0.518073,0.29728812,0.21583816
CCN1,5.6930447,13.14772,7.25682,1.1127584,6.598925,9.964345,2.4460745,15.383841,8.721675,8.106392,1.1539879,4.5069866,1.1994212,4.634377,1.9287609,0.47620085,2.8569114,3.534407,1.9474921,2.1524982,3.103911,1.574712,3.9188092,1.6596102,2.3461065,1.2950242,4.0634766,6.1411047,1.0106059,0.73663104,0.58725625,3.863001,0.434871,0.40971088,4.6033354,2.1333828,3.7498896,2.7458234,1.3566488,0.44812435,0.3267454
ODF2L,0.7698873,0.28698993,0.3498149,0.27860883,0.2845466,0.22265711,0.6425644,0.33826792,0.2818409,0.2370015,0.33499402,0.6448133,0.5093837,0.5876002,1.7969742,0.43566966,2.5426884,0.47128946,0.3442366,2.4279597,0.73816884,3.5143783,0.7628643,2.5529807,0.7452301,3.3340414,0.86333185,3.4134593,0.4421509,2.3045993,0.35792655,1.3852276,0.2958191,0.5325421,0.76042,0.48042467,0.93732643,0.85211277,1.5366259,0.3376342,0.29499972
HS2ST1,0.6209341,0.4293557,0.39138696,0.79233927,0.4522678,0.4344912,0.61397666,0.2436333,0.3034421,0.38934663,0.7355312,0.6091632,0.47986382,0.08573288,0.11127489,0.076500595,0.15629657,0.0648188,0.08646258,0.10233367,0.05826885,0.1861635,0.12074067,0.1522572,0.15394069,0.13378674,0.11771858,0.10765046,0.07693285,0.08481805,0.08253241,0.109424874,0.16277231,0.39410016,0.17361256,0.12286783,0.14259422,0.15153879,0.30595845,0.24222971,0.013625241
VTCN1,0.020604707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5951419,0.02821602,0.20467608,0.049049843,0.29085684,0.2558664,0.06931357,0.77041554,0.24633965,0.7874077,0.01657661,0.43657172,0.1813798,0.5994659,0.04117811,0.25972024,0.035597615,0.34896144,0.15211216,1.8392962,0.0,0.5914332,0.57361007,1.6764536,1.3798529,4.164917,0.4138772,0.0
S100A14,0.0,0.018467195,0.02195747,0.013679089,0.006811807,0.0,0.0066707013,0.0,0.0064005177,0.029523067,0.0,0.0,0.003736752,0.5716648,0.05626413,0.5494437,0.13113636,0.64466786,0.5283244,0.04075366,0.76534754,0.05609828,0.5724196,0.081274636,0.6424998,0.09469749,0.6414952,0.15640572,0.51828426,0.23097947,0.8494169,0.40282604,3.247815,0.0,2.599097,0.30325902,0.9123585,1.1276131,0.06063668,0.96735466,0.3370536
AC234582.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03257405,0.12136633,0.0,0.41453484,0.024008093,0.03145916,0.4949054,0.006706253,0.5430274,0.013619329,0.2561459,0.008329447,0.556149,0.049135413,0.9250318,0.043430373,0.59735554,0.00783594,0.09896525,0.0036731604,0.0,0.0,0.0,0.0,0.0,0.17965466,0.0,0.0
